INF_ID,INF_NM,INF_NM_EN
OOWY4R001216HX11454,(영문)국회 소식 및 보도자료,national-assembly-news-and-press-releases-en
OOWY4R001216HX11447,(영문)국회의원 정보,national-assembly-member-information-en
OOWY4R001216HX11445,(영문)국회의장 연설문,national-assembly-speaker-speeches-en
OOWY4R001216HX11444,(영문)국회의장 주요동정,national-assembly-speaker-major-activities-en
OOWY4R001216HX11451,(영문)국회일정,national-assembly-schedule-en
OOWY4R001216HX11449,(영문)위원회 정보,committee-information-en
OOWY4R001216HX11498,(영문)최신 처리 의안,latest-processed-bills-en
O04X68000884BE13083,8급 공개경쟁 채용현황,grade-8-open-competitive-recruitment-status
OTUNFG0008834Q19898,9급 공개경쟁 채용현황,grade-9-open-competitive-recruitment-status
OB5IBW001180FQ10640,NABO Focus,nabo-focus
O5K6OC001166I215604,NABO 결산 분석,nabo-settlement-analysis
OTSI7L0011705B12017,NABO 경제 정책 및 동향 분석,nabo-economic-policy-and-trend-analysis
OZN379001174FW17905,NABO 경제재정수첩,nabo-economic-and-fiscal-handbook
O6MC3G0011698G17444,NABO 경제전망,nabo-economic-outlook
OB3OEN0011786012232,NABO 경제ㆍ산업동향 이슈,nabo-economic-and-industry-trend-issues
OLH92R0011733J15777,NABO 대한민국 공공기관,nabo-korea-public-institutions
O3YBRH0011715419177,NABO 대한민국 재정,nabo-korea-public-finance
O0IS020011724J12768,NABO 대한민국 지방재정,nabo-korea-local-finance
OFZZ1G001167FC10024,NABO 비용추계 및 재정전망,nabo-cost-estimation-and-fiscal-projection
OGM9FC001165FS12631,NABO 예산 분석,nabo-budget-analysis
O2QQLK001176HI14481,NABO 재정동향 이슈,nabo-fiscal-trend-issues
ORMEIR001164VQ17801,NABO 재정사업 평가,nabo-fiscal-program-evaluation
O2U9RG001168QQ15766,NABO 조세분석 및 연구,nabo-tax-analysis-and-research
OH01G5001175B914429,NABO 조세수첩,nabo-tax-handbook
O13FRZ001177X318752,NABO 추계 세제 이슈,nabo-estimated-tax-system-issues
OB1YJN001063U411224,NATV 뉴스_기타,natv-news-etc
OFPR4Q001057VP11437,NATV 뉴스_본회의,natv-news-plenary-session
ODNHIU0010588P19122,NATV 뉴스_위원회,natv-news-committee
OK3DIS001059MR19626,NATV 뉴스_의장단,natv-news-speaker-group
OFOEZN001060N312362,NATV 뉴스_인물,natv-news-people
OZUY2X001061ON17910,NATV 뉴스_정당,natv-news-political-parties
OVRNQQ001062CO16787,NATV 뉴스_토론회/세미나,natv-news-forums-and-seminars
OOBAOA001213RL17443,OPEN API 전체 현황,open-api-overall-status
OOWY4R001216HX11479,계류의안 통계,pending-bill-statistics
OOWY4R001216HX11518,공청회 회의록,public-hearing-minutes
OOWY4R001216HX11497,국정감사 결과보고서,national-audit-result-reports
OOWY4R001216HX11507,국정감사 회의록,national-audit-minutes
OOWY4R001216HX11418,국정조사 결과보고서,state-investigation-result-reports
OOWY4R001216HX11508,국정조사 회의록,state-investigation-minutes
OI75DS001208ZW14781,국회 기자회견장 사용현황,national-assembly-press-conference-room-usage-status
OC9MRL000922KH15936,국회 및 국회사무처 소관 법인별 보조금 예산,subsidy-budget-by-corporation-under-national-assembly-and-secretariat
OCLLF20008904J19487,국회 보유 자산(건물),national-assembly-owned-assets-buildings
OTL4B3000889YI11365,국회 보유 자산(전체),national-assembly-owned-assets-total
OWKPDF000891EB10683,국회 보유 자산(토지),national-assembly-owned-assets-land
O8FQ4U000888KF14544,국회 시설물 안내,national-assembly-facilities-guide
O610V6000952AV17729,국회개방행사 일정,national-assembly-open-events-schedule
OAUD9V000973QN17203,국회뉴스ON_국회는 지금,assembly-news-on-national-assembly-now
OU29AR0009890A11079,국회뉴스ON_국회동향기타,assembly-news-on-national-assembly-trends-etc
OOG5NZ000976EC12112,국회뉴스ON_그건 이렇습니다,assembly-news-on-thats-how-it-is
O01TEW000977U011862,국회뉴스ON_발행물 및 보고서,assembly-news-on-publications-and-reports
O9KCDC000980U619570,국회뉴스ON_보좌진 이야기,assembly-news-on-staff-stories
OL39BM000986V214201,국회뉴스ON_부의장동향,assembly-news-on-deputy-speaker-activities
O3VXPE000987AB14703,국회뉴스ON_사무총장동향,assembly-news-on-secretary-general-activities
OQ0WH1000975M912523,국회뉴스ON_상임위·본회의,assembly-news-on-committees-and-plenary
O4UTN7000934TV19125,국회뉴스ON_외부기고,assembly-news-on-external-op-eds
O5MSQF0009823A15643,국회뉴스ON_의원 입법안,assembly-news-on-members-bills
O4BV430009830710440,국회뉴스ON_의원실 행사,assembly-news-on-member-office-events
O93OTI000979JV17987,국회뉴스ON_의원의 맛과멋,assembly-news-on-members-taste-and-style
OJUGHY0009848Z17162,국회뉴스ON_의장동향,assembly-news-on-speaker-activities
O7OLVS0011544713501,국회도서관 기타 행정정보 공표,national-assembly-library-other-admin-info-disclosure
OK160H001152I912731,국회도서관 사업에 관한 행정정보 공표,national-assembly-library-project-admin-info-disclosure
OTA0YC001127RJ11880,국회도서관 업무추진비 집행현황,national-assembly-library-operational-expense-execution-status
OOWY4R001216HX11426,국회도서관 연간보고서,national-assembly-library-annual-report
OXN4AR0009078I18280,국회도서관 정보공개청구 처리현황 목록,national-assembly-library-info-disclosure-request-processing-list
OVDCJU001123OF14595,국회도서관 정보목록,national-assembly-library-information-catalog
ODI720001121MP14647,국회도서관 정책에 관한 행정정보 공표,national-assembly-library-policy-admin-info-disclosure
OD0T6I001156CA16296,국회도서관 정책연구용역 보고서,national-assembly-library-policy-research-service-reports
OOWY4R001216HX11443,국회도서관 제공 자료 통합 API,national-assembly-library-data-integrated-api
OJAMPB0011929O11426,국회도서관 행정감시 행정정보 공표,national-assembly-library-admin-oversight-info-disclosure
OZ2W6L0011539T11384,국회도서관 행정정보 공표목록,national-assembly-library-admin-info-disclosure-list
OSKTB0000948E917810,국회문화극장 공연 일정,national-assembly-cultural-theater-performance-schedule
OCFWMF000949MH18411,국회문화극장 영화 일정,national-assembly-cultural-theater-movie-schedule
OHN9XR001210S614262,국회미래연구원 미래포럼,national-assembly-future-institute-future-forum
OPP4KM0012097716578,국회미래연구원 브리프형 심층분석 보고서,national-assembly-future-institute-brief-in-depth-analysis-reports
O6V35E001197UE12021,국회미래연구원 연구보고서,national-assembly-future-institute-research-reports
OX4XHR001211RB17826,국회미래연구원 연차보고서,national-assembly-future-institute-annual-report
OOWY4R001216HX11450,국회미래연구원 제공 자료 통합 API,national-assembly-future-institute-data-integrated-api
OOWY4R001216HX11429,국회박물관 행사 일정,national-assembly-museum-events-schedule
OOWY4R001216HX11441,국회발간물 통합 API,national-assembly-publications-integrated-api
OCSMEJ000953O916134,국회방송 편성표,national-assembly-broadcast-schedule
O2PLAU000882CD18776,국회사무처 1억원 이상 계약 현황,national-assembly-secretariat-contracts-over-100-million-krw
OFJHWN000881T019291,국회사무처 2천만원 이상 수의계약 현황,national-assembly-secretariat-sole-source-contracts-over-20-million-krw
OU9HJK001126JG15339,국회사무처 업무추진비 집행현황,national-assembly-secretariat-operational-expense-execution-status
O6MZOL000912ZG15427,국회사무처 정보공개청구 처리현황 목록,national-assembly-secretariat-info-disclosure-request-processing-list
O71AP8001122ZZ10743,국회사무처 정보목록,national-assembly-secretariat-information-catalog
OLI05G0011283N16926,국회예산정책처 업무추진비 집행현황,nabo-operational-expense-execution-status
O0KGG20011857W15853,국회예산정책처 연차보고서,nabo-annual-report
O8OFB2000905T918825,국회예산정책처 정보공개청구 처리현황 목록,nabo-info-disclosure-request-processing-list
OH473Z0011245H13792,국회예산정책처 정보목록,nabo-information-catalog
OOWY4R001216HX11500,국회예산정책처 제공 자료 통합 API,nabo-data-integrated-api
OUSZ4M0011845C16071,국회예산정책처 홍보물,nabo-promotional-materials
OET0D9001078G318850,국회의원 SNS정보,member-sns-information
OHAC6C000892WC13765,국회의원 겸직 결정 내역,member-dual-employment-decision-details
OZY6M30010164K11655,국회의원 기자회견,member-press-conferences
OK7XM1000938DS17215,국회의원 발의법률안,member-sponsored-bills
O84OO9000939BC16536,국회의원 보좌직원 채용,member-aide-staff-recruitment
OOWY4R001216HX11415,국회의원 본회의 의사일정,member-plenary-agenda
OPR1MQ000998LC12535,국회의원 본회의 표결정보,member-plenary-voting-information
OVW2NU000937WK15521,국회의원 상임위 활동,member-standing-committee-activities
O67B1I001080WL10254,국회의원 세미나 일정,member-seminar-schedule
O8685D0008489413266,국회의원 소규모 연구용역 결과보고서,member-small-research-service-result-reports
O78HKE0010099W15881,국회의원 연구단체 등록현황,member-research-group-registration-status
O3VTTM0010223D15681,국회의원 영상회의록(발언영상),member-video-minutes-speech-videos
ORNDP7000993P115502,국회의원 위원회 경력,member-committee-career-history
OOWY4R001216HX11417,국회의원 위원회 의사일정,member-committee-agenda
OAJPOY0010182J19421,국회의원 의원이력,member-biography
O927U9001135M913005,국회의원 의정보고서,member-legislative-activity-reports
OWSSC6001134T516707,국회의원 인적사항,member-personal-information
OOWY4R001216HX11439,국회의원 정보 통합 API,member-information-integrated-api
OQ0A0T0011366V19103,국회의원 정책 세미나 개최 현황,member-policy-seminar-hosting-status
OJ2LTJ001101KO19739,국회의원 정책자료실,member-policy-resource-room
O87UNV000897E818234,국회의원 직무상 국외활동 신고 내역,member-official-overseas-activity-disclosure-details
OOWY4R001216HX11425,국회의원 청원현황,member-petition-status
OTM7PV000945R113521,국회의장 주요일정,speaker-major-schedule
OOWY4R001216HX11437,국회일정 통합 API,national-assembly-schedule-integrated-api
O5C2PY001120OH19574,국회입법조사처 기타자료,nars-other-materials
OEEG26001115LX11448,국회입법조사처 세미나·간담회,nars-seminars-and-roundtables
OXZDRJ0011169E17589,국회입법조사처 알림지(국회입법조사처보),nars-newsletter-nars-bulletin
O575RS001118PF15881,국회입법조사처 알림지(홍보책자),nars-newsletter-promo-booklet
O6JXFI0011292O12073,국회입법조사처 업무추진비 집행현황,nars-operational-expense-execution-status
OJH286001107IK13829,국회입법조사처 연구보고서(NARS 현안분석),nars-research-reports-current-issues-analysis
ORMXPX0011135N18074,국회입법조사처 연구보고서(국정감사관련(보고서)),nars-research-reports-national-audit-related
OR0YT0001112TD13067,국회입법조사처 연구보고서(국제통계 동향과 분석),nars-research-reports-international-statistics-trends-and-analysis
O5UDG0001111CI11346,국회입법조사처 연구보고서(외국입법 동향과 분석),nars-research-reports-foreign-legislation-trends-and-analysis
OQEXW00012074114927,국회입법조사처 연구보고서(외국입법·정책 분석),nars-research-reports-foreign-legislation-and-policy-analysis
OSPS4X001105IL17344,국회입법조사처 연구보고서(이슈와 논점),nars-research-reports-issues-and-points
O8ZYOF001109VJ11181,국회입법조사처 연구보고서(입법·정책보고서),nars-research-reports-legislation-and-policy-reports
OFUAJ6001108BJ11284,국회입법조사처 연구보고서(입법영향분석보고서),nars-research-reports-legislative-impact-analysis
O6KN2D001106O610167,국회입법조사처 연구보고서(지표로 보는 이슈),nars-research-reports-issues-by-indicators
OVA33G0011172J17084,국회입법조사처 연차보고서,nars-annual-report
O0UBVR000906UG11689,국회입법조사처 정보공개청구 처리현황 목록,nars-info-disclosure-request-processing-list
OU749A0011256511253,국회입법조사처 정보목록,nars-information-catalog
OUK015001119KD17086,국회입법조사처 정책연구용역자료,nars-policy-research-service-materials
OOWY4R001216HX11446,국회입법조사처 제공 자료 통합 API,nars-data-integrated-api
OR95JZ001114RS11521,국회입법조사처 학술지(입법과 정책),nars-journal-legislation-and-policy
O6PTDW000886NN18676,국회채용_종합현황,national-assembly-recruitment-overall-status
ORL1S4001007HM19790,국회채용정보,national-assembly-recruitment-information
O8U5BW001076JT16522,날짜별 의정활동,legislative-activities-by-date
OOWY4R001216HX11513,대통령시정연설 포함 회의록,minutes-including-presidential-address-to-the-assembly
OOWY4R001216HX11512,대통령취임연설 포함 회의록,minutes-including-presidential-inaugural-address
OOWY4R001216HX11435,대한민국 경제,korea-economy
OOWY4R001216HX11433,대한민국 조세,korea-taxation
OB61LZ000981FC12253,법률안 심사 및 처리(계류의안),bill-review-and-processing-pending-bills
OBV24T000974AX17644,법률안 심사 및 처리(본회의부의안건),bill-review-and-processing-items-submitted-to-plenary
OG88RA000978S210177,"법률안 심사 및 처리(위원회안, 대안)",bill-review-and-processing-committee-bills-and-alternatives
O4K6HM0012064I15889,법률안 심사 및 처리(의안검색),bill-review-and-processing-bill-search
OM5S9O0009857U12121,법률안 심사 및 처리(처리의안),bill-review-and-processing-processed-bills
OS18DL000970OU13480,법률안 심사 및 처리(최근 본회의처리 의안),bill-review-and-processing-recent-plenary-processed-bills
OS46YD0012559515463,법률안 제안이유 및 주요내용,bill-proposal-reasons-and-key-contents
O8XZ8U001160SW12010,법제사례 연구발표,legislation-case-study-presentations
O6HDE2001161LX18191,법제실 발간자료,legislation-office-publications
OBX2DO001030E516625,보도자료,press-releases
ORDPSW001070QH19059,본회의 일정,plenary-session-schedule
OW1R4X0010744X17495,본회의 처리안건_결산,plenary-processed-agenda-settlement
ODFFIG001072OX10139,본회의 처리안건_기타,plenary-processed-agenda-other
OQ68B8001071ZB13418,본회의 처리안건_법률안,plenary-processed-agenda-bills
O32948001073L213726,본회의 처리안건_예산안,plenary-processed-agenda-budget-bills
OO1X9P001017YF13038,본회의 회의록,plenary-session-minutes
ORPY580008959U11813,사업별 예산 편성 규모,budget-allocation-scale-by-program
OOWY4R001216HX11517,서면질의답변서 목록,written-questions-and-answers-list
OOWY4R001216HX11519,소위원회 회의록,subcommittee-minutes
O6DY4U000931SN17960,수입징수현황(수입목별),revenue-collection-status-by-item
OT9767000930ZL12696,수입징수현황(수입항별),revenue-collection-status-by-category
OA8HOU000969OM19602,시민의정연수,citizen-legislative-training
OOWY4R001216HX11416,시정 및 처리 요구사항에 대한 결과보고서,corrective-and-processing-requirements-result-reports
OOWY4R001216HX11523,시정조치 결과보고서 목록,corrective-action-result-reports-list
OOWY4R001216HX11521,시청각자료 목록,audiovisual-materials-list
OOWY4R001216HX11423,실시간 의사중계 현황,live-proceedings-broadcast-status
O70WYZ000950T211169,아트갤러리 전시 일정,art-gallery-exhibition-schedule
OOWY4R001216HX11419,어린이국회 개최 결과,children-parliament-event-results
OOWY4R001216HX11420,어린이국회 우수법률안 소개,children-parliament-excellent-bill-introductions
OLFZV7001148O518934,"역대 국회 선거일, 의원정수, 임기정보",historical-assembly-election-dates-seat-count-and-term-info
O0MH4O001149BH11948,역대 국회 정당별 국회의원 지역분포,historical-assembly-member-regional-distribution-by-party
OXJNQM001195IT17281,역대 국회의원 위원회 경력,historical-members-committee-career-history
OD21030011944P19666,역대 국회의원 의원이력,historical-members-biography
OBL7NF0011935G18076,역대 국회의원 인적사항,historical-members-personal-information
OKDE3A001150P113085,역대 국회의원 재선 현황,historical-members-reelection-status
OQG5IZ0011449610187,역대 국회의원 현황,historical-members-status
O6P4Y5001146KI12348,역대 국회의장단 정보,historical-speaker-leadership-information
O9RY2V0011518716129,역대 여성 국회의원 현황,historical-women-members-status
OKAPKX000929X915616,역대 의안 통계,historical-bill-statistics
O7FHUO000928X018370,역대 정당별 국회의원 선거결과,historical-election-results-by-party
OEQ77R000942NL11530,연구단체 연구활동 보고서,research-groups-activity-reports
O5VQRK0008587911609,연구단체 연구활동비 집행현황,research-groups-activity-fund-execution-status
ON9NSL000857D116126,연구단체 활동실적,research-groups-activity-performance
OC0RRQ000852J210654,연도별 연구단체 건수,yearly-count-of-research-groups
OOWY4R001216HX11511,연석회의 회의록,joint-session-minutes
OOWY4R001216HX11491,연차보고서,annual-report
OOWY4R001216HX11424,영상회의록 목록,video-minutes-list
OOWY4R001216HX11468,예결산 심사정보,budget-and-settlement-review-information
OOWY4R001216HX11494,예결산 예비심사 정보 조회,preliminary-budget-and-settlement-review-lookup
OOWY4R001216HX11495,예결산 종합심사 회의정보 조회,comprehensive-budget-and-settlement-review-meeting-lookup
OOWY4R001216HX11505,예결산특별위원회 회의록,special-committee-on-budget-and-settlement-minutes
OCROAA001181NA17461,예산정책연구,budget-policy-research
OMGXFT001182IV12099,예산춘추,budget-almanac
OOWY4R001216HX11514,외빈연설 포함 회의록,minutes-including-foreign-dignitary-speeches
OCXHYA000859TX17626,우수연구단체 현황,excellent-research-groups-status
OY18U4001075AG16626,위원회 계류법률안,committee-pending-bills
OCAJQ4001000LI18751,위원회 위원 명단,committee-member-roster
OAFHCY001008NN11647,위원회 자료실,committee-resource-room
O2Q4ZT001004PV11014,위원회 현황 정보,committee-status-information
OR137O001023MZ19321,위원회 회의록,committee-minutes
OOWY4R001216HX11421,위원회별 개정대상 법률 현황,laws-subject-to-amendment-by-committee-status
OKBFLN000963SS13091,위원회별 공청회 일정,public-hearing-schedule-by-committee
O4UN9N000961PS11812,위원회별 소위원회 일정,subcommittee-schedule-by-committee
OHXILX000958DD14523,위원회별 일정,committee-schedule-by-committee
O27DU0000960M511942,위원회별 전체회의 일정,full-committee-meeting-schedule-by-committee
OAB4WY0009432M10546,의사일정공지,agenda-notices
OOWY4R001216HX11493,의안 법사위 회의정보 조회,bill-judiciary-committee-meeting-information-lookup
OOWY4R001216HX11461,의안 상세정보,bill-detail-information
OOWY4R001216HX11462,의안 심사정보(예ㆍ결산 제외),bill-review-information-excluding-budget-and-settlement
OOWY4R001216HX11492,의안 위원회심사 회의정보 조회,bill-committee-review-meeting-information-lookup
OOWY4R001216HX11458,의안 접수목록,bill-receipt-list
OOWY4R001216HX11460,의안 제안자정보,bill-proposer-information
OND1KZ0009677M13515,의안별 표결현황,voting-status-by-bill
OOWY4R001216HX11526,의안별 회의록 목록,minutes-list-by-bill
OOWY4R001216HX11440,의안정보 통합 API,bill-information-integrated-api
O1OS9V000880XH10851,의원실 지원경비 현황,member-office-support-expense-status
OOWY4R001216HX11501,의원실 행사 정보,member-office-event-information
ONVQB00009257H12418,의원연맹별 보조금 예산,subsidy-budget-by-parliamentary-league
O5IUE30009237O13905,의원외교협의회 명단,parliamentary-diplomacy-council-roster
OVUY5B0009241I13320,의원친선협회 임·회원 명단,parliamentary-friendship-association-officers-and-members-roster
OOWY4R001216HX11434,의장단 보도자료,speaker-leadership-press-releases
OOWY4R001216HX11431,의장단 주요일정,speaker-leadership-major-schedule
OOWY4R001216HX11438,의회외교 동향,parliamentary-diplomacy-trends
O8YX0U001110EM14308,의회외교 동향과 분석,parliamentary-diplomacy-trends-and-analysis
OZHI8N000955DZ17739,의회외교 실시내역,parliamentary-diplomacy-implementation-details
OOWY4R001216HX11436,의회외교 영문의회용어검색,parliamentary-diplomacy-english-parliamentary-term-search
OOWY4R001216HX11442,의회외교 해외주요법률 제개정,parliamentary-diplomacy-major-foreign-law-revisions
OY3EE5000956Q913543,의회외교포럼 활동보고,parliamentary-diplomacy-forum-activity-reports
O4W19G001189TV11044,인사청문회,personnel-hearings
OOWY4R001216HX11509,인사청문회 회의록,personnel-hearing-minutes
OAIEX00008855613861,입법고시(5급) 채용현황,legislative-exam-grade-5-recruitment-status
OEUJQB0012145514537,전원위원회 일정,committee-of-the-whole-schedule
O8WI650012155G10023,전원위원회 회의록,committee-of-the-whole-minutes
OJ24FX001003FD16907,정당 및 교섭단체 의석수 현황,seat-count-status-by-party-and-parliamentary-group
OVDKBQ000915NE11865,정보공개청구 이의신청 처리현황,info-disclosure-objection-processing-status
OVRSWG000917L610310,정보공개청구 행정소송 판결현황,info-disclosure-administrative-lawsuit-ruling-status
ORRHLL000916DN12489,정보공개청구 행정심판 결과현황,info-disclosure-administrative-appeal-result-status
O7RUVD001183U610140,정책연구용역,policy-research-services
OOWY4R001216HX11522,제안설명서 목록,proposal-explanatory-documents-list
OF8AJV000972OP11430,종료된 입법예고,completed-legislation-preannouncements
OP7W8M000944IF15092,주요정치일정,major-political-schedule
OITFOE000968XH15981,지방의회 연수 교육일정,local-council-training-education-schedule
OAUJIX001138TP16525,지역현안 입법지원 토론회 개최 내역,local-issue-legislative-support-forum-hosting-details
O1O34T000932VG10613,지출집행현황(단위사업별),expenditure-execution-status-by-unit-program
O8D9RF000933S512258,지출집행현황(세부사업별),expenditure-execution-status-by-detailed-program
OXJ0OE001002XA11874,진행중 입법예고,ongoing-legislation-preannouncements
OOWY4R001216HX11477,처리 의안통계(발의주체별 법률안),processed-bill-statistics-by-proposing-entity
OOWY4R001216HX11475,처리 의안통계(위원회별 법률안),processed-bill-statistics-by-committee-bills
OOWY4R001216HX11472,처리 의안통계(위원회별),processed-bill-statistics-by-committee
OOWY4R001216HX11473,처리 의안통계(의안종류별ㆍ위원회별),processed-bill-statistics-by-bill-type-and-committee
OOWY4R001216HX11471,처리 의안통계(총괄),processed-bill-statistics-overall
OOWY4R001216HX11510,청문회 회의록,hearing-minutes
OTICJI000959B917394,청원 계류현황,petition-pending-status
OOWY4R001216HX11489,청원 상세정보,petition-detail-information
OOWY4R001216HX11486,청원 소개의원 정보,petition-introducing-member-information
OOWY4R001216HX11490,청원 심사정보,petition-review-information
OOWY4R001216HX11482,청원 접수목록,petition-receipt-list
OQ50H1000962NX16376,청원 처리현황,petition-processing-status
OOWY4R001216HX11496,청원 통계,petition-statistics
OOWY4R001216HX11422,최근 헌재결정과 개정대상 법률,recent-constitutional-court-decisions-and-laws-to-amend
OOWY4R001216HX11428,최신외국입법정보,latest-foreign-legislation-information
OOWY4R001216HX11432,토론회 결과보고서,forum-result-reports
O0TLLI0008796R14875,퇴직 공직자 취업이력 공시,post-retirement-employment-history-disclosure
OOWY4R001216HX11506,특별위원회 회의록,special-committee-minutes
OMYCKJ0011621210030,행정입법 분석연구,administrative-legislation-analysis-research
OOWY4R001216HX11430,"현안,외국에선",current-issues-abroad
OOWY4R001216HX11470,회기정보,session-information
OU8JBT0015343C14378,회의록 대별 위원회 목록,minutes-committee-list-by-assembly-term
OOWY4R001216HX11516,회의록별 부록 정보,minutes-appendix-information-by-record
OOWY4R001216HX11520,회의록별 상세정보,minutes-detail-information-by-record
OOWY4R001216HX11524,회의별 안건목록,agenda-list-by-meeting
OOWY4R001216HX11525,회의별 의안목록,bill-list-by-meeting